FGU,Fangatau,Tuamotus,French Polynesia,Fangatau,
FHU,Sierra Vista,Arizona, United States,Sierra Vista,
FHZ,Fakahina,Tuamotus,French Polynesia,Fakahina,
FID,Fishers Island,New York, United States,Fishers Island,
FIE,Fair Isle,Scotland, United Kingdom,Fair Isle,
FIG,Fria,Guinea,,Fria,
FIH,Kinshasa,Democratic Republic of the Congo,,Kinshasa,
FIK,Finke(Aputula),Northern Territory, Australia,Finke(Aputula),
FIL,Fillmore,Utah, United States,Fillmore,
FIN,Finschhafen,Papua New Guinea,,Finschhafen,
FIZ,Fitzroy Crossing,Western Australia, Australia,Fitzroy Crossing,
FJR,Fujairah,United Arab Emirates,,Fujairah,
FKB,Karlsruhe/Baden-Baden,Baden-Württemberg, Germany,Karlsruhe/Baden-Baden,
FKI,Kisangani,Democratic Republic of the Congo,,Kisangani,
FKJ,Fukui,Honshu, Japan,Fukui,
FKL,Franklin,Pennsylvania, United States,Franklin,
FKN,Franklin,Virginia, United States,Franklin,
FKQ,Fakfak,Indonesia,,Fakfak,
FKS,Sukagawa,Honshu, Japan,Sukagawa,
FLA,Florencia (Caquetá),Colombia,,Florencia (Caqueta),
FLB,Floriano,Piauí, Brazil,Floriano,
FLD,Fond du Lac,Wisconsin, United States,Fond du Lac,
FLF,Flensburg,Schleswig-Holstein, Germany,Flensburg,
FLG,Flagstaff,Arizona, United States,Flagstaff,
FLH,Flotta,Scotland, United Kingdom,Flotta,
FLI,Flateyri,Iceland,,Flateyri,
FLL,Fort Lauderdale/Hollywood,Florida, United States,Fort Lauderdale/Hollywood,
FLM,Filadelfia,Paraguay,,Filadelfia,
FLN,Florianópolis,Santa Catarina, Brazil,Florianopolis,
FLO,Florence,South Carolina, United States,Florence,
FLP,Flippin,Arkansas, United States,Flippin,
FLR,Florence,Tuscany, Italy,Florence,
FLS,Flinders Island,Tasmania, Australia,Flinders Island,
FLT,Flat,Alaska, United States,Flat,
FLV,Fort Leavenworth,Kansas, United States,Fort Leavenworth,
FLW,Flores Island,Azores,Portugal,Flores Island,
FLX,Fallon,Nevada, United States,Fallon,
FLY,Finley,New South Wales, Australia,Finley,
FLZ,Sibolga,Indonesia,,Sibolga,
FMA,Formosa, Argentina,,Formosa,
FME,Fort Meade/Odenton,Maryland, United States,Fort Meade/Odenton,
FMH,Falmouth,Massachusetts, United States,Falmouth,
FMI,Kalemie,Democratic Republic of the Congo,,Kalemie,
FMM,Memmingen,Bavaria, Germany,Memmingen,
FMN,Farmington,New Mexico, United States,Farmington,
FMO,Münster/Osnabrück,North Rhine-Westphalia, Germany,Munster/Osnabruck,
FMS,Fort Madison,Iowa, United States,Fort Madison,
FMU,Florence,Oregon, United States,Florence,
FMY,Fort Myers,Florida, United States,Fort Myers,
FNA,Freetown,Sierra Leone,,Freetown,
FNB,Neubrandenburg,Mecklenburg-Vorpommern, Germany,Neubrandenburg,
FNC,Funchal,Madeira,Portugal,Funchal,
FNE,Fane,Papua New Guinea,,Fane,
FNG,Fada N'gourma,Burkina Faso,,Fada N'gourma,
FNH,Fincha,Ethiopia,,Fincha,
FNI,Nîmes,Languedoc-Roussillon, France,Nimes,
FNJ,Pyongyang,North Korea,,Pyongyang,
FNL,Fort Collins/Loveland,Colorado, United States,Fort Collins/Loveland,
FNR,Funter Bay,Alaska, United States,Funter Bay,
FNT,Flint,Michigan, United States,Flint,
FNU,Oristano,Sardinia, Italy,Oristano,
FOA,Foula,Scotland, United Kingdom,Foula,
FOB,Fort Bragg,California, United States,Fort Bragg,
FOC,Fuzhou,Fujian, China,Fuzhou,
FOD,Fort Dodge,Iowa, United States,Fort Dodge,
FOE,Topeka,Kansas, United States,Topeka,
FOG,Foggia,Apulia, Italy,Foggia,
FOK,Westhampton Beach,New York, United States,Westhampton Beach,
FOM,Foumban,Cameroon,,Foumban,
FON,La Fortuna,Costa Rica,,La Fortuna,
FOO,Numfoor,Indonesia,,Numfoor,
FOR,Fortaleza,Ceará, Brazil,Fortaleza,
FOS,Forrest,Western Australia, Australia,Forrest,
FOT,Forster,New South Wales, Australia,Forster,
FOU,Fougamou,Gabon,,Fougamou,
FOY,Foya,Liberia,,Foya,
FPO,Freeport,Grand Bahama,Bahamas,Freeport,
FPR,Fort Pierce,Florida, United States,Fort Pierce,
FPY,Perry,Florida, United States,Perry,
FRA,Frankfurt,Hessen, Germany,Frankfurt,
FRB,Forbes,New South Wales, Australia,Forbes,
FRC,Franca,São Paulo, Brazil,Franca,
FRD,Friday Harbor,Washington, United States,Friday Harbor,
FRE,Fera Island,Isabel Province,Solomon Islands,Fera Island,
FRG,Farmingdale,New York, United States,Farmingdale,
FRH,French Lick,Indiana, United States,French Lick,
FRI,Fort Riley,Kansas, United States,Fort Riley,
FRK,Frégate Island,Seychelles,,Fregate Island,
FRL,Forlì,Emilia-Romagna, Italy,Forli,
FRM,Fairmont,Minnesota, United States,Fairmont,
FRN,Anchorage,Alaska, United States,Anchorage,
FRO,Florø,Norway,,Floro,
FRQ,Feramin,Papua New Guinea,,Feramin,
FRR,Front Royal,Virginia, United States,Front Royal,
FRS,Flores,Guatemala,,Flores,
FRT,Frutillar,Chile,,Frutillar,
FRU,Bishkek,Kyrgyzstan,,Bishkek,
FRW,Francistown,Botswana,,Francistown,
FRY,Fryeburg,Maine, United States,Fryeburg,
FRZ,Fritzlar,Hesse, Germany,Fritzlar,
FSC,Figari,Corsica, France,Figari,
FSD,Sioux Falls,South Dakota, United States,Sioux Falls,
FSI,Lawton,Oklahoma, United States,Lawton,
FSK,Fort Scott,Kansas, United States,Fort Scott,
FSL,Fossil Downs Station,Western Australia, Australia,Fossil Downs Station,
FSM,Fort Smith,Arkansas, United States,Fort Smith,
FSP,Saint-Pierre,Saint Pierre and Miquelon,,Saint-Pierre,
FSS,Forres,Scotland, United Kingdom,Forres,
FST,Fort Stockton,Texas, United States,Fort Stockton,
FSU,Fort Sumner,New Mexico, United States,Fort Sumner,
FSZ,Shizuoka,Honshu, Japan,Shizuoka,
FTA,Futuna Island,Tafea,Vanuatu,Futuna Island,
FTE,El Calafate,Santa Cruz, Argentina,El Calafate,
FTI,Fitiuta,American Samoa, United States,Fitiuta,
FTK,Fort Knox,Kentucky, United States,Fort Knox,
FTU,Tôlanaro,Madagascar,,Tolanaro,
FTW,Fort Worth,Texas, United States,Fort Worth,
FTX,Owando,Republic of the Congo,,Owando,
FTY,Atlanta,Georgia, United States,Atlanta,
FUB,Fulleborn,Papua New Guinea,,Fulleborn,
FUE,Fuerteventura,Canary Islands, Spain,Fuerteventura,
FUG,Fuyang,Anhui, China,Fuyang,
FUK,Fukuoka,Kyushu, Japan,Fukuoka,
FUL,Fullerton,California, United States,Fullerton,
FUM,Fuma,Papua New Guinea,,Fuma,
FUN,Funafuti,Tuvalu,,Funafuti,
FUO,Foshan,Guangdong, China,Foshan,
FUT,Futuna Island,Wallis and Futuna,,Futuna Island,
FVL,Flora Valley,Western Australia, Australia,Flora Valley,
FVM,Fuvahmulah,Gnaviyani Atoll,Maldives,Fuvahmulah,
FVR,Forrest River Mission,Western Australia, Australia,Forrest River Mission,
FWA,Fort Wayne,Indiana, United States,Fort Wayne,
FWH,Fort Worth,Texas, United States,Fort Worth,
FWL,Farewell,Alaska, United States,Farewell,
FXE,Fort Lauderdale,Florida, United States,Fort Lauderdale,
FXO,Cuamba,Mozambique,,Cuamba,
FXY,Forest City,Iowa, United States,Forest City,
FYJ,Fuyuan,Heilongjiang, China,Fuyuan,
FYM,Fayetteville,Tennessee, United States,Fayetteville,
FYN,Fuyun,Xinjiang, China,Fuyun,
FYT,Faya-Largeau,Chad,,Faya-Largeau,
FYU,Fort Yukon,Alaska, United States,Fort Yukon,
FYV,Fayetteville,Arkansas, United States,Fayetteville,
FZO,Bristol,England, United Kingdom,Bristol,
GAA,Guamal,Colombia,,Guamal,
GAB,Gabbs,Nevada, United States,Gabbs,
GAC,Gracias,Honduras,,Gracias,
GAD,Gadsden,Alabama, United States,Gadsden,
GAE,Gabès,Tunisia,,Gabes,
GAF,Gafsa,Tunisia,,Gafsa,
GAG,Gage,Oklahoma, United States,Gage,
GAH,Gayndah,Queensland, Australia,Gayndah,
GAI,Gaithersburg,Maryland, United States,Gaithersburg,
GAJ,Yamagata,Honshu, Japan,Yamagata,
GAL,Galena,Alaska, United States,Galena,
GAM,Gambell,Alaska, United States,Gambell,
GAN,Gan Island,Addu Atoll,Maldives,Gan Island,
GAO,Guantánamo,Cuba,,Guantanamo,
GAP,Gusap,Papua New Guinea,,Gusap,
GAQ,Gao,Mali,,Gao,
GAR,Garaina,Papua New Guinea,,Garaina,
GAS,Garissa,Kenya,,Garissa,
GAT,Gap,Provence-Alpes-Côte d'Azur, France,Gap,
GAU,Guwahati,Assam, India,Guwahati,
GAV,Gag Island,Indonesia,,Gag Island,
GAW,Gangaw,Myanmar,,Gangaw,
GAX,Gamba,Gabon,,Gamba,
GAY,Gaya,Bihar, India,Gaya,
GAZ,Guasopa,Papua New Guinea,,Guasopa,
GBA,Kemble,England, United Kingdom,Kemble,
GBB,Qabala,Azerbaijan,,Qabala,
GBC,Gasuke,Papua New Guinea,,Gasuke,
GBD,Great Bend,Kansas, United States,Great Bend,
GBE,Gaborone,Botswana,,Gaborone,
GBF,Negarbo,Papua New Guinea,,Negarbo,
GBG,Galesburg,Illinois, United States,Galesburg,
GBH,Galbraith Lake,Alaska, United States,Galbraith Lake,
GBJ,Grand-Bourg,Marie-Galante Island,Guadeloupe,Grand-Bourg,
GBK,Gbangbatok,Sierra Leone,,Gbangbatok,
GBL,Goulburn Islands,Northern Territory, Australia,Goulburn Islands,
GBM,Garbaharey,Somalia,,Garbaharey,
GBP,Gamboola,Queensland, Australia,Gamboola,
GBR,Great Barrington,Massachusetts, United States,Great Barrington,
GBT,Gorgan,Iran,,Gorgan,
GBU,Khashm el Girba,Sudan,,Khashm el Girba,
GBV,Gibb River,Western Australia, Australia,Gibb River,
GBW,Ginbata,Western Australia, Australia,Ginbata,
GBZ,Great Barrier Island,New Zealand,,Great Barrier Island,
GCA,Guacamayas,Colombia,,Guacamayas,
GCC,Gillette,Wyoming, United States,Gillette,
GCD,Electric City,Washington, United States,Electric City,
GCH,Gachsaran,Iran,,Gachsaran,
GCI,Guernsey,Channel Islands, United Kingdom,Guernsey,
GCJ,Johannesburg,South Africa,,Johannesburg,
GCK,Garden City,Kansas, United States,Garden City,
GCM,Grand Cayman,British Overseas TerritoryofCayman Islands,,Grand Cayman,
GCN,Tusayan,Arizona, United States,Tusayan,
GCW,Peach Springs,Arizona, United States,Peach Springs,
GCY,Greeneville,Tennessee, United States,Greeneville,
GDA,Gounda,Central African Republic,,Gounda,
GDC,Greenville,South Carolina, United States,Greenville,
GDD,Gordon Downs,Western Australia, Australia,Gordon Downs,
GDE,Gode,Ethiopia,,Gode,
GDG,Magdagachi,Amur Oblast, Russia,Magdagachi,
GDH,Golden Horn Lodge,Alaska, United States,Golden Horn Lodge,
GDI,Gordil,Central African Republic,,Gordil,
GDJ,Gandajika,Democratic Republic of the Congo,,Gandajika,
GDL,Guadalajara,Jalisco, Mexico,Guadalajara,
GDM,Gardner,Massachusetts, United States,Gardner,
GDO,Guasdualito,Venezuela,,Guasdualito,
GDP,Guadalupe,Piauí, Brazil,Guadalupe,
GDQ,Gondar,Ethiopia,,Gondar,
GDT,Grand Turk Island,British Overseas TerritoryofTurks and Caicos Islands,,Grand Turk Island,
GDV,Glendive,Montana, United States,Glendive,
GDW,Gladwin,Michigan, United States,Gladwin,
GDX,Magadan,Magadan Oblast, Russia,Magadan,
GDZ,Gelendzhik,Krasnodar Krai, Russia,Gelendzhik,
GEA,Nouméa,New Caledonia,,Noumea,
GEB,Gebe,Indonesia,,Gebe,
GEC,Geçitkale,Northern Cyprus,,Gecitkale,
GED,Georgetown,Delaware, United States,Georgetown,
GEE,George Town,Tasmania, Australia,George Town,
GEF,Liangai,Vella Lavella,Solomon Islands,Liangai,
GEG,Spokane,Washington, United States,Spokane,
GEL,Santo Ângelo,Rio Grande do Sul, Brazil,Santo angelo,
GEM,Mengomeyén,Equatorial Guinea,,Mengomeyen,
GEO,Georgetown,Guyana,,Georgetown,
GER,Nueva Gerona,Cuba,,Nueva Gerona,
GES,General Santos,Philippines,,General Santos,
GET,Geraldton,Western Australia, Australia,Geraldton,
GEV,Gällivare,Sweden,,Gallivare,
GEW,Gewoia,Papua New Guinea,,Gewoia,
GEX,Geelong,Victoria, Australia,Geelong,
GEY,Greybull,Wyoming, United States,Greybull,
GFD,Greenfield,Indiana, United States,Greenfield,
GFE,Grenfell,New South Wales, Australia,Grenfell,
GFF,Griffith,New South Wales, Australia,Griffith,
GFK,Grand Forks,North Dakota, United States,Grand Forks,
GFL,Glens Falls,New York, United States,Glens Falls,
GFN,Grafton,New South Wales, Australia,Grafton,
GFO,Bartica,Guyana,,Bartica,
GFR,Granville,Lower Normandy, France,Granville,
GFY,Grootfontein,Namibia,,Grootfontein,
GGC,Lumbala N'guimbo,Angola,,Lumbala N'guimbo,
GGD,Gregory Downs,Queensland, Australia,Gregory Downs,
GGE,Georgetown,South Carolina, United States,Georgetown,
GGG,Longview,Texas, United States,Longview,
GGL,Gilgal,Colombia,,Gilgal,
GGM,Kakamega,Kenya,,Kakamega,
GGN,Gagnoa,Ivory Coast,,Gagnoa,
GGO,Guiglo,Ivory Coast,,Guiglo,
GGR,Garowe,Somalia,,Garowe,
GGS,Gobernador Gregores,Santa Cruz, Argentina,Gobernador Gregores,
GGT,Moss Town,Great Exuma Island,Bahamas,Moss Town,
GGW,Glasgow,Montana, United States,Glasgow,
GHA,Ghardaïa,Algeria,,Ghardaia,
GHB,Governor's Harbour,Eleuthera Island,Bahamas,Governor's Harbour,
GHC,Great Harbour Cay,Berry Islands,Bahamas,Great Harbour Cay,
GHE,Garachiné,Panama,,Garachine,
GHF,Giebelstadt,Bavaria, Germany,Giebelstadt,
GHK,Kennedy Lake,Northwest Territories, Canada,Kennedy Lake,
GHM,Centerville,Tennessee, United States,Centerville,
GHN,Guanghan,Sichuan, China,Guanghan,
GHT,Ghat,Libya,,Ghat,
GHU,Gualeguaychú,Entre Ríos, Argentina,Gualeguaychu,
GIB,Gibraltar,,,Gibraltar,
GIC,Boigu Island,Queensland, Australia,Boigu Island,
GID,Gitega,Burundi,,Gitega,
GIF,Winter Haven,Florida, United States,Winter Haven,
GIG,Rio de Janeiro, Brazil,,Rio de Janeiro,
GII,Siguiri,Guinea,,Siguiri,
GIL,Gilgit,Pakistan,,Gilgit,
GIM,Miele Mimbale,Gabon,,Miele Mimbale,
GIR,Girardot,Colombia,,Girardot,
GIS,Gisborne,New Zealand,,Gisborne,
GIT,Geita,Tanzania,,Geita,
GIU,Dambulla,Sri Lanka,,Dambulla,
GIY,Giyani,South Africa,,Giyani,
GIZ,Jizan,Saudi Arabia,,Jizan,
GJA,Guanaja,Honduras,,Guanaja,
GJL,Jijel,Algeria,,Jijel,
GJM,Guajará-Mirim,Rondônia, Brazil,Guajara-Mirim,
GJR,Gjögur,Iceland,,Gjogur,
GJT,Grand Junction,Colorado, United States,Grand Junction,
GKA,Goroka,Papua New Guinea,,Goroka,
GKD,Gökçeada,Turkey,,Gokceada,
GKE,Geilenkirchen,North Rhine-Westphalia, Germany,Geilenkirchen,
GKH,Gorkha,Nepal,,Gorkha,
GKK,Kooddoo,Gaafu Alif Atoll,Maldives,Kooddoo,
GKL,Great Keppel Island,Queensland, Australia,Great Keppel Island,
GKN,Gulkana,Alaska, United States,Gulkana,
GKO,Kongo Boumba,Gabon,,Kongo Boumba,
GKT,Sevierville,Tennessee, United States,Sevierville,
GLA,Glasgow,Scotland, United Kingdom,Glasgow,
GLB,Globe,Arizona, United States,Globe,
GLC,Geladi,Ethiopia,,Geladi,
GLD,Goodland,Kansas, United States,Goodland,
GLE,Gainesville,Texas, United States,Gainesville,
GLF,Golfito,Costa Rica,,Golfito,
GLG,Glengyle,Queensland, Australia,Glengyle,
GLH,Greenville,Mississippi, United States,Greenville,
GLI,Glen Innes,New South Wales, Australia,Glen Innes,
GLK,Galkayo,Somalia,,Galkayo,
GLL,Gol,Norway,,Gol,
GLM,Glenormiston,Queensland, Australia,Glenormiston,
GLN,Guelmim,Morocco,,Guelmim,
GLO,Gloucester/Cheltenham,England, United Kingdom,Gloucester/Cheltenham,
GLP,Gulgubip,Papua New Guinea,,Gulgubip,
GLR,Gaylord,Michigan, United States,Gaylord,
GLS,Galveston,Texas, United States,Galveston,
GLT,Gladstone,Queensland, Australia,Gladstone,
GLU,Gelephu,Bhutan,,Gelephu,
GLV,Golovin,Alaska, United States,Golovin,
GLW,Glasgow,Kentucky, United States,Glasgow,
GLX,Galela,Indonesia,,Galela,
GLY,Goldsworthy,Western Australia, Australia,Goldsworthy,
GLZ,Breda,Netherlands,,Breda,
GMA,Gemena,Democratic Republic of the Congo,,Gemena,
GMB,Gambela,Ethiopia,,Gambela,
GMC,Guerima,Colombia,,Guerima,
GMD,Ben Slimane,Morocco,,Ben Slimane,
GME,Gomel,Belarus,,Gomel,
GMI,Gasmata,Papua New Guinea,,Gasmata,
GMM,Gamboma,Republic of the Congo,,Gamboma,
GMN,Greymouth,New Zealand,,Greymouth,
GMO,Gombe,Nigeria,,Gombe,
GMP,Seoul,South Korea,,Seoul,
GMQ,Golog,Qinghai, China,Golog,
GMR,Mangareva,Gambier Islands,French Polynesia,Mangareva,
GMS,Guimarães,Maranhão, Brazil,Guimaraes,
GMT,Granite Mountain,Alaska, United States,Granite Mountain,
GMU,Greenville,South Carolina, United States,Greenville,
GMV,Monument Valley,Utah, United States,Monument Valley,
GMZ,La Gomera/Canary Islands, Spain,,La Gomera/Canary Islands,
GNA,Grodno,Belarus,,Grodno,
GNB,Grenoble,Rhône-Alpes, France,Grenoble,
GND,St. George's,Grenada,,St George's,
GNF,Quincy,California, United States,Quincy,
GNG,Gooding,Idaho, United States,Gooding,
GNI,Lyudao(Green Island),Taiwan,,Lyudao(Green Island),
GNM,Guanambi,Bahia, Brazil,Guanambi,
GNN,Ginir,Ethiopia,,Ginir,
GNR,General Roca,Río Negro, Argentina,General Roca,
GNS,Gunungsitoli,Indonesia,,Gunungsitoli,
GNT,Grants,New Mexico, United States,Grants,
GNU,Goodnews Bay,Alaska, United States,Goodnews Bay,
GNV,Gainesville,Florida, United States,Gainesville,
GNZ,Ghanzi,Botswana,,Ghanzi,
GOA,Genoa,Liguria, Italy,Genoa,
GOB,Goba,Ethiopia,,Goba,
GOC,Gora,Papua New Guinea,,Gora,
GOE,Gonaili,Papua New Guinea,,Gonaili,
GOG,Gobabis,Namibia,,Gobabis,
GOH,Nuuk,Greenland,,Nuuk,
GOI,Dabolim,Goa, India,Dabolim,
GOJ,Nizhny Novgorod,Nizhny Novgorod Oblast, Russia,Nizhny Novgorod,
GOK,Guthrie,Oklahoma, United States,Guthrie,
GOL,Gold Beach,Oregon, United States,Gold Beach,
GOM,Goma,Democratic Republic of the Congo,,Goma,
GON,Groton/New London,Connecticut, United States,Groton/New London,
GOO,Goondiwindi,Queensland, Australia,Goondiwindi,
GOP,Gorakhpur,Uttar Pradesh, India,Gorakhpur,
GOQ,Golmud,Qinghai, China,Golmud,
GOR,Gore,Ethiopia,,Gore,
GOS,Gosford,New South Wales, Australia,Gosford,
GOT,Gothenburg,Sweden,,Gothenburg,
GOU,Garoua, Cameroon,,Garoua,
GOV,Nhulunbuy,Northern Territory, Australia,Nhulunbuy,
GOZ,Gorna Oryahovitsa,Bulgaria,,Gorna Oryahovitsa,
GPA,Patras,Greece,,Patras,
GPB,Guarapuava,Paraná, Brazil,Guarapuava,
GPD,Mount Gordon Mine,Queensland, Australia,Mount Gordon Mine,
GPI,Guapi,Colombia,,Guapi,
GPL,Guápiles,Costa Rica,,Guapiles,
GPN,Pularumpi,Northern Territory, Australia,Pularumpi,
GPO,General Pico,La Pampa, Argentina,General Pico,
GPS,Baltra Island,Galápagos Islands,Ecuador,Baltra Island,
GPT,Gulfport/Biloxi,Mississippi, United States,Gulfport/Biloxi,
GPZ,Grand Rapids,Minnesota, United States,Grand Rapids,
GQQ,Galion,Ohio, United States,Galion,
GRA,Gamarra,Colombia,,Gamarra,
GRB,Green Bay,Wisconsin, United States,Green Bay,
GRC,Grand Cess,Liberia,,Grand Cess,
GRD,Greenwood,South Carolina, United States,Greenwood,
GRE,Greenville,Illinois, United States,Greenville,
GRF,Tacoma,Washington, United States,Tacoma,
GRG,Gardez,Afghanistan,,Gardez,
GRH,Garuahi,Papua New Guinea,,Garuahi,
GRI,Grand Island,Nebraska, United States,Grand Island,
GRJ,George,South Africa,,George,
GRK,Fort Hood/Killeen,Texas, United States,Fort Hood/Killeen,
GRL,Garasa,Papua New Guinea,,Garasa,
GRM,Grand Marais,Minnesota, United States,Grand Marais,
GRN,Gordon,Nebraska, United States,Gordon,
GRO,Girona,Catalonia, Spain,Girona,
GRP,Gurupi,Tocantins, Brazil,Gurupi,
GRQ,Groningen,Netherlands,,Groningen,
GRR,Grand Rapids,Michigan, United States,Grand Rapids,
GRS,Grosseto,Tuscany, Italy,Grosseto,
GRT,Gujrat,Pakistan,,Gujrat,
GRU,São Paulo, Brazil,,Sao Paulo,
GRV,Grozny,Chechnya, Russia,Grozny,
GRW,Graciosa,Azores,Portugal,Graciosa,
GRX,Granada,Andalusia, Spain,Granada,
GRY,Grímsey,Iceland,,Grimsey,
GRZ,Graz,Austria,,Graz,
GSA,Long Pasia,Sabah, Malaysia,Long Pasia,
GSB,Goldsboro,North Carolina, United States,Goldsboro,
GSC,Gascoyne Junction,Western Australia, Australia,Gascoyne Junction,
GSE,Gothenburg,Sweden,,Gothenburg,
GSH,Goshen,Indiana, United States,Goshen,
GSI,Grand-Santi,French Guiana,,Grand-Santi,
GSJ,Puerto San José,Guatemala,,Puerto San Jose,
GSL,Taltheilei Narrows,Northwest Territories, Canada,Taltheilei Narrows,
GSM,Qeshm,Iran,,Qeshm,
GSN,Mount Gunson,South Australia, Australia,Mount Gunson,
GSO,Greensboro,North Carolina, United States,Greensboro,
GSP,Greenville/Spartanburg,South Carolina, United States,Greenville/Spartanburg,
GSQ,Sharq Al-Owainat,Egypt,,Sharq Al-Owainat,
GSR,Qardho,Somalia,,Qardho,
GSS,Sabie,South Africa,,Sabie,
GST,Gustavus,Alaska, United States,Gustavus,
GSU,Gedaref,Sudan,,Gedaref,
GSV,Saratov,Saratov Oblast, Russia,Saratov,
GTA,Gatokae,Solomon Islands,,Gatokae,
GTE,Groote Eylandt,Northern Territory, Australia,Groote Eylandt,
GTF,Great Falls,Montana, United States,Great Falls,
GTG,Grantsburg,Wisconsin, United States,Grantsburg,
GTI,Güttin,Mecklenburg-Vorpommern, Germany,Guttin,
GTN,Mount Cook,New Zealand,,Mount Cook,
GTO,Gorontalo,Indonesia,,Gorontalo,
GTP,Grants Pass,Oregon, United States,Grants Pass,
GTR,Columbus/West Point/Starkville,Mississippi, United States,Columbus/West Point/Starkville,
GTS,The Granites,Northern Territory, Australia,The Granites,
GTT,Georgetown,Queensland, Australia,Georgetown,
GTW,Zlín,Czech Republic,,Zlin,
GTY,Gettysburg,Pennsylvania, United States,Gettysburg,
GTZ,Grumeti,Tanzania,,Grumeti,
GUA,Guatemala City,Guatemala,,Guatemala City,
GUB,Guerrero Negro,Baja California Sur,Mexico,Guerrero Negro,
GUC,Gunnison,Colorado, United States,Gunnison,
GUD,Goundam,Mali,,Goundam,
GUE,Guriaso,Papua New Guinea,,Guriaso,
GUF,Gulf Shores,Alabama, United States,Gulf Shores,
GUG,Guari,Papua New Guinea,,Guari,
GUH,Gunnedah,New South Wales, Australia,Gunnedah,
GUI,Güiria,Venezuela,,Guiria,
GUJ,Guaratinguetá,São Paulo, Brazil,Guaratingueta,
GUL,Goulburn,New South Wales, Australia,Goulburn,
GUM,HagAtña,Guam,,HagAtna,
GUP,Gallup,New Mexico, United States,Gallup,
GUQ,Guanare,Venezuela,,Guanare,
GUR,Alotau,Papua New Guinea,,Alotau,
GUS,Peru,Indiana, United States,Peru,
GUT,Gütersloh,North Rhine-Westphalia, Germany,Gutersloh,
GUU,Grundarfjörður,Iceland,,Grundarfjordur,
GUV,Mougulu,Papua New Guinea,,Mougulu,
GUW,Atyrau,Kazakhstan,,Atyrau,
GUX,Guna,Madhya Pradesh, India,Guna,
GUY,Guymon,Oklahoma, United States,Guymon,
GUZ,Guarapari,Espírito Santo, Brazil,Guarapari,
GVA,Geneva,Switzerland,,Geneva,
GVE,Gordonsville,Virginia, United States,Gordonsville,
GVI,Green River,Papua New Guinea,,Green River,
GVL,Gainesville,Georgia, United States,Gainesville,
GVN,Sovetskaya Gavan,Khabarovsk Krai, Russia,Sovetskaya Gavan,
GVP,Greenvale,Queensland, Australia,Greenvale,
GVR,Governador Valadares,Minas Gerais, Brazil,Governador Valadares,
GVT,Greenville,Texas, United States,Greenville,
GVX,Gävle,Sweden,,Gavle,
GWA,Gwa,Myanmar,,Gwa,
GWD,Gwadar,Pakistan,,Gwadar,
GWE,Gweru,Zimbabwe,,Gweru,
GWL,Gwalior,Madhya Pradesh, India,Gwalior,
GWN,Gnarowein,Papua New Guinea,,Gnarowein,
GWO,Greenwood,Mississippi, United States,Greenwood,
GWS,Glenwood Springs,Colorado, United States,Glenwood Springs,
GWT,Sylt,Schleswig-Holstein, Germany,Sylt,
GWV,Glen Dale,West Virginia, United States,Glen Dale,
GWY,Galway,Ireland,,Galway,
GXF,Sayun,Yemen,,Sayun,
GXG,Negage,Angola,,Negage,
GXH,Xiahe,Gansu, China,Xiahe,
GXQ,Coyhaique,Chile,,Coyhaique,
GXX,Yagoua, Cameroon,,Yagoua,
GXY,Greeley,Colorado, United States,Greeley,
GYA,Guayaramerín,Bolivia,,Guayaramerin,
GYD,Baku,Azerbaijan,,Baku,
GYE,Guayaquil,Ecuador,,Guayaquil,
GYG,Magan,Yakutia, Russia,Magan,
GYI,Gisenyi, Rwanda,,Gisenyi,
GYL,Argyle,Western Australia, Australia,Argyle,
GYM,Guaymas,Sonora, Mexico,Guaymas,
GYN,Goiânia,Goiás, Brazil,Goiania,
GYP,Gympie,Queensland, Australia,Gympie,
GYR,Goodyear,Arizona, United States,Goodyear,
GYS,Guangyuan,Sichuan, China,Guangyuan,
GYU,Guyuan,Ningxia, China,Guyuan,
GYY,Gary,Indiana, United States,Gary,
GZA,Gaza,Palestine,,Gaza,
GZI,Ghazni,Afghanistan,,Ghazni,
GZO,Gizo,Western Province,Solomon Islands,Gizo,
GZT,Gaziantep,Turkey,,Gaziantep,
GZW,Qazvin,Iran,,Qazvin,
HAA,Hasvik,Norway,,Hasvik,
HAB,Hamilton,Alabama, United States,Hamilton,
HAD,Halmstad,Sweden,,Halmstad,
HAF,Half Moon Bay,California, United States,Half Moon Bay,
HAH,Moroni,Comoros,,Moroni,
HAI,Three Rivers,Michigan, United States,Three Rivers,
HAJ,Hanover,Lower Saxony, Germany,Hanover,
HAK,Haikou,Hainan, China,Haikou,
HAL,Halali,Namibia,,Halali,
HAM,Hamburg, Germany,,Hamburg,
HAN,Hanoi,Vietnam,,Hanoi,
HAO,Hamilton,Ohio, United States,Hamilton,
HAQ,Hanimaadhoo,Haa Dhaalu Atoll,Maldives,Hanimaadhoo,
HAR,Harrisburg,Pennsylvania, United States,Harrisburg,
HAS,Ha'il(Hail),Saudi Arabia,,Ha'il(Hail),
HAT,Heathlands,Queensland, Australia,Heathlands,
HAU,Haugesund,Norway,,Haugesund,
HAV,Havana,Cuba,,Havana,
HAW,Haverfordwest,Wales, United Kingdom,Haverfordwest,
HAZ,Hatzfeldthaven,Papua New Guinea,,Hatzfeldthaven,
HBA,Hobart,Tasmania, Australia,Hobart,
HBB,Hobbs,New Mexico, United States,Hobbs,
